track_name,artist_name,streams,stream_change,streams_7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity,stream_change_direction,streams_millions,streams_7day_millions,artist_track
Wonderwall - Remastered,Oasis,1286520,-64148,8821556,Britpop,GB,160,884,10108076,Falling,Average,Evergreen,Decreasing,1.28652,8.821556,Oasis - Wonderwall - Remastered
Too Sweet,Hozier,1283948,40456,6149401,Pop,IE,161,620,7433349,Rising,Average,Evergreen,Increasing,1.283948,6.149401,Hozier - Too Sweet
"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",Macklemore & Ryan Lewis,1282248,-87604,8781747,Hip Hop,US,163,1211,10063995,Falling,Average,Evergreen,Decreasing,1.282248,8.781747,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
DAISIES,Justin Bieber,1281664,-20169,8990092,Pop,CA,164,252,10271756,Falling,Average,Evergreen,Decreasing,1.281664,8.990092,Justin Bieber - DAISIES
Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),Post Malone,1281251,-6790,5025791,Pop,US,165,2292,6307042,Falling,Average,Evergreen,Decreasing,1.281251,5.025791,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee)
Take on Me - 2015 Remaster,a-ha,1279646,-21334,4937908,Pop,NO,167,14,6217554,Falling,Average,New,Decreasing,1.279646,4.937908,a-ha - Take on Me - 2015 Remaster
Can't Stop - 2014 Remaster,Red Hot Chili Peppers,1275766,-114450,9103531,Alternative Rock,US,169,20,10379297,Falling,Average,New,Decreasing,1.275766,9.103531,Red Hot Chili Peppers - Can't Stop - 2014 Remaster
Poker Face,Lady Gaga,1275472,-64590,8736190,Pop,US,170,389,10011662,Falling,Average,Evergreen,Decreasing,1.275472,8.73619,Lady Gaga - Poker Face
Cruel Summer,Taylor Swift,1268541,9198,2527884,Pop,US,172,1014,3796425,Rising,Average,Evergreen,Increasing,1.268541,2.527884,Taylor Swift - Cruel Summer
Boys Don't Cry,The Cure,1263767,15843,6006104,New Wave,GB,173,53,7269871,Rising,Average,Stable Hit,Increasing,1.263767,6.006104,The Cure - Boys Don't Cry
luther,Kendrick Lamar,1260494,-89450,9151667,Hip Hop,US,175,483,10412161,Falling,Average,Evergreen,Decreasing,1.260494,9.151667,Kendrick Lamar - luther
What You Saying,Lil Uzi Vert,1259173,-27420,8754899,Rap,US,176,80,10014072,Falling,Average,Stable Hit,Decreasing,1.259173,8.754899,Lil Uzi Vert - What You Saying
S&M,Rihanna,1257351,-87753,7352626,Pop,US,177,30,8609977,Falling,Average,New,Decreasing,1.257351,7.352626,Rihanna - S&M
No Pole,Don Toliver,1254541,-53350,9273774,Billboard Hot 100,US,178,454,10528315,Falling,Average,Evergreen,Decreasing,1.254541,9.273774,Don Toliver - No Pole
Last Friday Night (T.G.I.F.),Katy Perry,1251765,-19664,2523194,Pop,US,179,99,3774959,Falling,Average,Stable Hit,Decreasing,1.251765,2.523194,Katy Perry - Last Friday Night (T.G.I.F.)
Just Keep Watching (From F1® The Movie) (w/ F1 The Album),Tate McRae,1245007,-77995,9035434,Dolby Atmos,CA,181,270,10280441,Falling,Average,Evergreen,Decreasing,1.245007,9.035434,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
Flashing Lights (w/ Dwele),Kanye West,1241168,-39451,8480893,Pop,GB,185,244,9722061,Falling,Average,Evergreen,Decreasing,1.241168,8.480893,Kanye West - Flashing Lights (w/ Dwele)
Gangsta's Paradise (w/ L.V.),Coolio,1239884,-37552,4891917,Hip Hop,US,187,791,6131801,Falling,Average,Evergreen,Decreasing,1.239884,4.891917,Coolio - Gangsta's Paradise (w/ L.V.)
nuts (w/ rainy bear),Lil Peep,1237223,-11727,4787172,Hip Hop,US,188,5,6024395,Falling,Average,New,Decreasing,1.237223,4.787172,Lil Peep - nuts (w/ rainy bear)
Perfect,Ed Sheeran,1227709,-74196,8956978,Pop,GB,190,3070,10184687,Falling,Average,Evergreen,Decreasing,1.227709,8.956978,Ed Sheeran - Perfect
Summertime Sadness,Lana Del Rey,1227362,-104470,7508206,Indie Pop,US,191,1093,8735568,Falling,Average,Evergreen,Decreasing,1.227362,7.508206,Lana Del Rey - Summertime Sadness
Come As You Are - Remastered,Nirvana,1224750,-89453,6372663,Grunge,US,192,153,7597413,Falling,Average,Evergreen,Decreasing,1.22475,6.372663,Nirvana - Come As You Are - Remastered
Breakin' Dishes,Rihanna,1224675,-24245,8638532,Pop,US,193,346,9863207,Falling,Average,Evergreen,Decreasing,1.224675,8.638532,Rihanna - Breakin' Dishes
The Chain - 2004 Remaster,Fleetwood Mac,1210598,-79537,8817306,Rock,GB,196,205,10027904,Falling,Average,Evergreen,Decreasing,1.210598,8.817306,Fleetwood Mac - The Chain - 2004 Remaster
Love On The Brain,Rihanna,1203160,-69820,7439269,Soul,US,197,352,8642429,Falling,Average,Evergreen,Decreasing,1.20316,7.439269,Rihanna - Love On The Brain
Sign of the Times,Harry Styles,1198929,-121566,3816744,Pop,England,198,331,5015673,Falling,Average,Evergreen,Decreasing,1.198929,3.816744,Harry Styles - Sign of the Times
Sorry,Justin Bieber,1192146,-86760,7346804,Pop,CA,199,767,8538950,Falling,Average,Evergreen,Decreasing,1.192146,7.346804,Justin Bieber - Sorry
Life Goes On,BTS,1191777,-76127,8979038,K-Pop,KR,200,207,10170815,Falling,Average,Evergreen,Decreasing,1.191777,8.979038,BTS - Life Goes On
