track_name,artist_name,streams,stream_change,streams_7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity,stream_change_direction,streams_millions,streams_7day_millions,artist_track
EoO,Bad Bunny,2542905,-123890,17968199,Billboard Hot 100,PR,39,437,20511104,Falling,Average,Evergreen,Decreasing,2.542905,17.968199,Bad Bunny - EoO
White Keys,Dominic Fike,2531236,-178737,17360808,Offizielle Charts,Florida,40,28,19892044,Falling,Average,New,Decreasing,2.531236,17.360808,Dominic Fike - White Keys
BIRDS OF A FEATHER,Billie Eilish,2529075,24180,17056445,Alternative Pop,US,41,674,19585520,Rising,Average,Evergreen,Increasing,2.529075,17.056445,Billie Eilish - BIRDS OF A FEATHER
Die On This Hill,SIENNA SPIRO,2398309,-322885,19212395,Pop,GB,43,102,21610704,Falling,Average,Evergreen,Decreasing,2.398309,19.212395,SIENNA SPIRO - Die On This Hill
Every Breath You Take,The Police,2367833,25446,16070168,New Wave,GB,44,1619,18438001,Rising,Average,Evergreen,Increasing,2.367833,16.070168,The Police - Every Breath You Take
Dracula - JENNIE Remix (w/ JENNIE),Tame Impala,2332341,-89323,15767565,Psychedelic Rock,AU,45,36,18099906,Falling,Average,Stable Hit,Decreasing,2.332341,15.767565,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE)
12 to 12,sombr,2260402,-86182,15853606,Indie Pop,US,46,236,18114008,Falling,Average,Evergreen,Decreasing,2.260402,15.853606,sombr - 12 to 12
Mr. Brightside,The Killers,2220784,-28156,14355698,Rock,GB,47,1682,16576482,Falling,Average,Evergreen,Decreasing,2.220784,14.355698,The Killers - Mr. Brightside
Espresso,Sabrina Carpenter,2213750,90339,13566149,Pop,US,48,709,15779899,Rising,Average,Evergreen,Increasing,2.21375,13.566149,Sabrina Carpenter - Espresso
Choosin' Texas,Ella Langley,2169091,10331,13900513,Country,US,49,80,16069604,Rising,Average,Stable Hit,Increasing,2.169091,13.900513,Ella Langley - Choosin' Texas
I Thought I Saw Your Face Today,She & Him,2155500,-138406,15647967,Indie Pop,US,50,104,17803467,Falling,Average,Evergreen,Decreasing,2.1555,15.647967,She & Him - I Thought I Saw Your Face Today
(When You Gonna) Give It Up to Me (w/ Keyshia Cole),Sean Paul,2154338,-112939,14951009,Dancehall,JM,51,65,17105347,Falling,Average,Stable Hit,Decreasing,2.154338,14.951009,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole)
Homewrecker,sombr,2139700,-220893,15402927,Indie Pop,US,52,44,17542627,Falling,Average,Stable Hit,Decreasing,2.1397,15.402927,sombr - Homewrecker
Sailor Song,Gigi Perez,2107410,-121996,16461691,Electronic,IT,53,581,18569101,Falling,Average,Evergreen,Decreasing,2.10741,16.461691,Gigi Perez - Sailor Song
Beautiful Things,Benson Boone,2090231,129461,13021976,Pop,US,54,793,15112207,Rising,Average,Evergreen,Increasing,2.090231,13.021976,Benson Boone - Beautiful Things
Sweater Weather,The Neighbourhood,2068795,-177998,15845100,Rock,GB,56,2120,17913895,Falling,Average,Evergreen,Decreasing,2.068795,15.8451,The Neighbourhood - Sweater Weather
"One Dance (w/ Wizkid, Kyla)",Drake,2035423,-105895,13481976,Hip Hop,CA,57,2135,15517399,Falling,Average,Evergreen,Decreasing,2.035423,13.481976,"Drake - One Dance (w/ Wizkid, Kyla)"
Rein Me In (w/ Olivia Dean),Sam Fender,2020602,-34643,12610414,Rock,GB,58,23,14631016,Falling,Average,New,Decreasing,2.020602,12.610414,Sam Fender - Rein Me In (w/ Olivia Dean)
Creep,Radiohead,2011657,-91449,14176633,Rock,GB,59,842,16188290,Falling,Average,Evergreen,Decreasing,2.011657,14.176633,Radiohead - Creep
Opalite,Taylor Swift,1992549,-70008,14093798,Pop,US,60,170,16086347,Falling,Average,Evergreen,Decreasing,1.992549,14.093798,Taylor Swift - Opalite
FEVER DREAM,Alex Warren,1992250,-130117,13935046,Offizielle Charts,GB,61,23,15927296,Falling,Average,New,Decreasing,1.99225,13.935046,Alex Warren - FEVER DREAM
dopamina (w/ Tito Double P),Peso Pluma,1952764,66159,12629601,Regional Mexicano,MX,62,86,14582365,Rising,Average,Stable Hit,Increasing,1.952764,12.629601,Peso Pluma - dopamina (w/ Tito Double P)
E85,Don Toliver,1948495,-127853,13479304,Billboard Hot 100,US,63,51,15427799,Falling,Average,Stable Hit,Decreasing,1.948495,13.479304,Don Toliver - E85
That's What I Like,Bruno Mars,1912383,-142486,12699826,Pop,US,65,1254,14612209,Falling,Average,Evergreen,Decreasing,1.912383,12.699826,Bruno Mars - That's What I Like
Dracula,Tame Impala,1906471,-84531,13354497,Dance-Pop,AU,66,138,15260968,Falling,Average,Evergreen,Decreasing,1.906471,13.354497,Tame Impala - Dracula
Dreams - 2004 Remaster,Fleetwood Mac,1894536,109844,11986886,Rock,GB,67,1004,13881422,Rising,Average,Evergreen,Increasing,1.894536,11.986886,Fleetwood Mac - Dreams - 2004 Remaster
Gabriela,KATSEYE,1850006,60664,12468922,Girl Group,US,68,275,14318928,Rising,Average,Evergreen,Increasing,1.850006,12.468922,KATSEYE - Gabriela
Yellow,Coldplay,1828666,-99526,12862160,Alternative Rock,GB,69,1909,14690826,Falling,Average,Evergreen,Decreasing,1.828666,12.86216,Coldplay - Yellow
Locked out of Heaven,Bruno Mars,1827015,-180903,13448378,Pop,US,70,1548,15275393,Falling,Average,Evergreen,Decreasing,1.827015,13.448378,Bruno Mars - Locked out of Heaven
I Wanna Be Yours,Arctic Monkeys,1825413,-80003,13563046,Indie Rock,GB,71,1354,15388459,Falling,Average,Evergreen,Decreasing,1.825413,13.563046,Arctic Monkeys - I Wanna Be Yours
Who,Jimin,1807214,176731,11524586,Contemporary R&B,KR,72,611,13331800,Rising,Average,Evergreen,Increasing,1.807214,11.524586,Jimin - Who
VOY A LLeVARTE PA PR,Bad Bunny,1780848,-133648,12359622,Reggaeton,PR,74,375,14140470,Falling,Average,Evergreen,Decreasing,1.780848,12.359622,Bad Bunny - VOY A LLeVARTE PA PR
daño (w/ Tito Double P),Peso Pluma,1780764,34375,11510694,Regional Mexicano,MX,75,86,13291458,Rising,Average,Stable Hit,Increasing,1.780764,11.510694,Peso Pluma - daño (w/ Tito Double P)
Starboy (w/ Daft Punk),The Weeknd,1761445,-119116,12541479,R&B,CA,76,2095,14302924,Falling,Average,Evergreen,Decreasing,1.761445,12.541479,The Weeknd - Starboy (w/ Daft Punk)
Lose Control,Teddy Swims,1737868,29374,11380332,Pop,US,77,856,13118200,Rising,Average,Evergreen,Increasing,1.737868,11.380332,Teddy Swims - Lose Control
Riptide,Vance Joy,1737857,-5537,11544093,Rock,AU,78,2586,13281950,Falling,Average,Evergreen,Decreasing,1.737857,11.544093,Vance Joy - Riptide
WILDFLOWER,Billie Eilish,1730195,-201850,13900491,Alternative Pop,US,79,674,15630686,Falling,Average,Evergreen,Decreasing,1.730195,13.900491,Billie Eilish - WILDFLOWER
LA CANCIÓN (w/ Bad Bunny),J Balvin,1708412,3072,11498926,Electronic,CO,80,988,13207338,Rising,Average,Evergreen,Increasing,1.708412,11.498926,J Balvin - LA CANCIÓN (w/ Bad Bunny)
Qué Pasaría... (w/ Bad Bunny),Rauw Alejandro,1674168,25719,11406360,Reggaeton,PR,82,427,13080528,Rising,Average,Evergreen,Increasing,1.674168,11.40636,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny)
Feel Good Inc,Gorillaz,1669648,-99808,11921501,Electronic,England,83,443,13591149,Falling,Average,Evergreen,Decreasing,1.669648,11.921501,Gorillaz - Feel Good Inc
All The Stars (w/ SZA),Kendrick Lamar,1665602,-10997,11456499,Hip Hop,US,84,1016,13122101,Falling,Average,Evergreen,Decreasing,1.665602,11.456499,Kendrick Lamar - All The Stars (w/ SZA)
See You Again (w/ Kali Uchis),"Tyler, The Creator",1662229,73090,10586720,Hip Hop,US,85,1066,12248949,Rising,Average,Evergreen,Increasing,1.662229,10.58672,"Tyler, The Creator - See You Again (w/ Kali Uchis)"
In the End,Linkin Park,1647656,-111701,11401354,Nu Metal,US,86,1012,13049010,Falling,Average,Evergreen,Decreasing,1.647656,11.401354,Linkin Park - In the End
"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",The Weeknd,1643774,-137154,12741548,R&B,CA,87,896,14385322,Falling,Average,Evergreen,Decreasing,1.643774,12.741548,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
Danza Kuduro (w/ Lucenzo),Don Omar,1643700,-105775,10737763,Reggaeton,PR,88,802,12381463,Falling,Average,Evergreen,Decreasing,1.6437,10.737763,Don Omar - Danza Kuduro (w/ Lucenzo)
Aperture,Harry Styles,1643576,-159524,13195579,Pop,England,89,58,14839155,Falling,Average,Stable Hit,Decreasing,1.643576,13.195579,Harry Styles - Aperture
"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",W Sound,1639753,-17075,10668572,Falcom,JP,90,389,12308325,Falling,Average,Evergreen,Decreasing,1.639753,10.668572,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
"LA VILLA (w/ Kapo, Gangsta)",Ryan Castro,1634806,64909,10801896,Rock,US,91,75,12436702,Rising,Average,Stable Hit,Increasing,1.634806,10.801896,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)"
"Good Luck, Babe!",Chappell Roan,1621060,15852,10803226,Pop,US,92,710,12424286,Rising,Average,Evergreen,Increasing,1.62106,10.803226,"Chappell Roan - Good Luck, Babe!"
Viva La Vida,Coldplay,1610233,106290,10117917,Alternative Rock,GB,93,1329,11728150,Rising,Average,Evergreen,Increasing,1.610233,10.117917,Coldplay - Viva La Vida
As It Was,Harry Styles,1608775,-150504,11660629,Pop,England,94,1401,13269404,Falling,Average,Evergreen,Decreasing,1.608775,11.660629,Harry Styles - As It Was
We Are The People,Empire Of The Sun,1594097,-30037,11149329,Electronic,AU,95,242,12743426,Falling,Average,Evergreen,Decreasing,1.594097,11.149329,Empire Of The Sun - We Are The People
The Less I Know The Better,Tame Impala,1593781,-51333,10870662,Psychedelic Rock,AU,96,510,12464443,Falling,Average,Evergreen,Decreasing,1.593781,10.870662,Tame Impala - The Less I Know The Better
505,Arctic Monkeys,1587695,-113645,11653237,Indie Rock,GB,97,1537,13240932,Falling,Average,Evergreen,Decreasing,1.587695,11.653237,Arctic Monkeys - 505
Seven (w/ Latto),Jung Kook,1580746,-80854,11202875,Pop,KR,98,981,12783621,Falling,Average,Evergreen,Decreasing,1.580746,11.202875,Jung Kook - Seven (w/ Latto)
Marlboro Rojo,Fuerza Regida,1564019,112870,10014833,Billboard Hot 100,MX,99,317,11578852,Rising,Average,Evergreen,Increasing,1.564019,10.014833,Fuerza Regida - Marlboro Rojo
Todo Lo Fue,Lenin Ramírez,1563733,90601,10043908,Regional Mexicano,MX,100,58,11607641,Rising,Average,Stable Hit,Increasing,1.563733,10.043908,Lenin Ramírez - Todo Lo Fue
The Visitor,SIENNA SPIRO,1558344,-296012,12044907,Pop Soul,GB,101,9,13603251,Falling,Average,New,Decreasing,1.558344,12.044907,SIENNA SPIRO - The Visitor
Billie Jean,Michael Jackson,1551069,20972,9991848,Pop,US,102,363,11542917,Rising,Average,Evergreen,Increasing,1.551069,9.991848,Michael Jackson - Billie Jean
Si Antes Te Hubiera Conocido,KAROL G,1540953,46742,9623813,Reggaeton,CO,103,583,11164766,Rising,Average,Evergreen,Increasing,1.540953,9.623813,KAROL G - Si Antes Te Hubiera Conocido
Pvta Luna,Neton Vega,1537690,56324,10293259,Regional Mexicano,Culiacán,104,127,11830949,Rising,Average,Evergreen,Increasing,1.53769,10.293259,Neton Vega - Pvta Luna
Ya Borracho,Herencia De Grandes,1536251,49704,9999127,Regional Mexicano,Monterrey,105,122,11535378,Rising,Average,Evergreen,Increasing,1.536251,9.999127,Herencia De Grandes - Ya Borracho
undressed,sombr,1535615,-88400,10972970,Indie Pop,US,106,358,12508585,Falling,Average,Evergreen,Decreasing,1.535615,10.97297,sombr - undressed
Shape of You,Ed Sheeran,1532739,-41473,10263688,Pop,GB,107,2815,11796427,Falling,Average,Evergreen,Decreasing,1.532739,10.263688,Ed Sheeran - Shape of You
That’s So True,Gracie Abrams,1526228,-51917,10719195,Folk Pop,US,108,519,12245423,Falling,Average,Evergreen,Decreasing,1.526228,10.719195,Gracie Abrams - That’s So True
Midnight Sun,Zara Larsson,1512185,-10911,10133254,Dance-Pop,SE,109,63,11645439,Falling,Average,Stable Hit,Decreasing,1.512185,10.133254,Zara Larsson - Midnight Sun
When I Was Your Man,Bruno Mars,1508958,144568,10366342,Pop,US,110,1476,11875300,Rising,Average,Evergreen,Increasing,1.508958,10.366342,Bruno Mars - When I Was Your Man
Have You Ever Seen The Rain,Creedence Clearwater Revival,1507387,52997,9344647,Swamp Rock,US,111,484,10852034,Rising,Average,Evergreen,Increasing,1.507387,9.344647,Creedence Clearwater Revival - Have You Ever Seen The Rain
Sparks,Coldplay,1504857,-3015,10932582,Alternative Rock,GB,112,562,12437439,Falling,Average,Evergreen,Decreasing,1.504857,10.932582,Coldplay - Sparks
COQUETA (w/ Grupo Frontera),Fuerza Regida,1503126,62199,9876432,Regional Mexicano,MX,113,309,11379558,Rising,Average,Evergreen,Increasing,1.503126,9.876432,Fuerza Regida - COQUETA (w/ Grupo Frontera)
Somewhere Only We Know,Keane,1496326,10006,10165562,Alternative Rock,GB,114,1193,11661888,Rising,Average,Evergreen,Increasing,1.496326,10.165562,Keane - Somewhere Only We Know
Taste Back,Harry Styles,1480809,-206276,12746602,Rock,England,115,16,14227411,Falling,Average,New,Decreasing,1.480809,12.746602,Harry Styles - Taste Back
Zoo (w/ Shakira),Disney,1466813,189999,4001191,Special Purpose Artist,US,116,58,5468004,Rising,Average,Stable Hit,Increasing,1.466813,4.001191,Disney - Zoo (w/ Shakira)
Smells Like Teen Spirit - Remastered,Nirvana,1453513,-125183,10271555,Grunge,US,117,727,11725068,Falling,Average,Evergreen,Decreasing,1.453513,10.271555,Nirvana - Smells Like Teen Spirit - Remastered
Blinding Lights,The Weeknd,1448450,11224,9729402,R&B,CA,118,2301,11177852,Rising,Average,Evergreen,Increasing,1.44845,9.729402,The Weeknd - Blinding Lights
7-3 (w/ Tito Double P),Peso Pluma,1440677,5573,9736835,Regional Mexicano,MX,119,86,11177512,Rising,Average,Stable Hit,Increasing,1.440677,9.736835,Peso Pluma - 7-3 (w/ Tito Double P)
Porch Light,Noah Kahan,1430611,-374516,12359863,Folk Pop,US,120,9,13790474,Falling,Average,New,Decreasing,1.430611,12.359863,Noah Kahan - Porch Light
Just the Way You Are,Bruno Mars,1423798,-102703,10482326,Pop,US,121,1197,11906124,Falling,Average,Evergreen,Decreasing,1.423798,10.482326,Bruno Mars - Just the Way You Are
Coming Up Roses,Harry Styles,1418986,-230104,12650537,Pop,England,122,16,14069523,Falling,Average,New,Decreasing,1.418986,12.650537,Harry Styles - Coming Up Roses
Nice To Each Other,Olivia Dean,1416007,-50721,9872551,Pop,US,123,212,11288558,Falling,Average,Evergreen,Decreasing,1.416007,9.872551,Olivia Dean - Nice To Each Other
Counting Stars,OneRepublic,1414383,-31879,9525522,Pop,US,124,2495,10939905,Falling,Average,Evergreen,Decreasing,1.414383,9.525522,OneRepublic - Counting Stars
Fame is a Gun,Addison Rae,1404894,-2613,10047427,Pop,US,125,120,11452321,Falling,Average,Evergreen,Decreasing,1.404894,10.047427,Addison Rae - Fame is a Gun
Only Girl (In The World),Rihanna,1398296,-52230,9276305,Pop,US,126,131,10674601,Falling,Average,Evergreen,Decreasing,1.398296,9.276305,Rihanna - Only Girl (In The World)
Bring Me To Life,Evanescence,1396427,-131213,10205781,Rock,US,127,341,11602208,Falling,Average,Evergreen,Decreasing,1.396427,10.205781,Evanescence - Bring Me To Life
Don't Stop The Music,Rihanna,1395227,-40325,9282714,Pop,US,128,117,10677941,Falling,Average,Evergreen,Decreasing,1.395227,9.282714,Rihanna - Don't Stop The Music
Timeless (w/ Playboi Carti),The Weeknd,1392146,-94943,10349253,R&B,CA,129,541,11741399,Falling,Average,Evergreen,Decreasing,1.392146,10.349253,The Weeknd - Timeless (w/ Playboi Carti)
Promiscuous (w/ Timbaland),Nelly Furtado,1390532,-5054,8860680,Pop,CA,130,171,10251212,Falling,Average,Evergreen,Decreasing,1.390532,8.86068,Nelly Furtado - Promiscuous (w/ Timbaland)
"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",Pitbull,1389531,-110927,9497950,Dance-Pop,US,131,511,10887481,Falling,Average,Evergreen,Decreasing,1.389531,9.49795,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)"
"chiclona (w/ Tito Double P, LENCHO)",Peso Pluma,1389411,-12742,9202643,Regional Mexicano,MX,132,21,10592054,Falling,Average,New,Decreasing,1.389411,9.202643,"Peso Pluma - chiclona (w/ Tito Double P, LENCHO)"
no tiene sentido,Beéle,1380148,-55381,9480736,Latin,CO,133,287,10860884,Falling,Average,Evergreen,Decreasing,1.380148,9.480736,Beéle - no tiene sentido
Kiss It Better,Rihanna,1379747,-223043,10359276,Pop,US,134,142,11739023,Falling,Average,Evergreen,Decreasing,1.379747,10.359276,Rihanna - Kiss It Better
Body,Don Toliver,1377373,-100397,10001871,Billboard Hot 100,US,135,51,11379244,Falling,Average,Stable Hit,Decreasing,1.377373,10.001871,Don Toliver - Body
The Night We Met,Lord Huron,1368186,-94429,10515041,Indie Rock,US,137,1327,11883227,Falling,Average,Evergreen,Decreasing,1.368186,10.515041,Lord Huron - The Night We Met
Sweet Child O' Mine,Guns N' Roses,1367839,-13859,8983873,Hard Rock,US,138,440,10351712,Falling,Average,Evergreen,Decreasing,1.367839,8.983873,Guns N' Roses - Sweet Child O' Mine
Let Me Love You (w/ Justin Bieber),DJ Snake,1364636,-88823,10084292,Dance,FR,139,809,11448928,Falling,Average,Evergreen,Decreasing,1.364636,10.084292,DJ Snake - Let Me Love You (w/ Justin Bieber)
Numb,Linkin Park,1350782,-120313,9629438,Nu Metal,US,140,704,10980220,Falling,Average,Evergreen,Decreasing,1.350782,9.629438,Linkin Park - Numb
Africa,TOTO,1350745,-23426,7537107,Rock,US,141,753,8887852,Falling,Average,Evergreen,Decreasing,1.350745,7.537107,TOTO - Africa
Who Knows,Daniel Caesar,1349819,-151500,10486538,Toronto,CA,142,120,11836357,Falling,Average,Evergreen,Decreasing,1.349819,10.486538,Daniel Caesar - Who Knows
The Man Who Can't Be Moved,The Script,1349075,-126873,10424946,Rock,GB,143,157,11774021,Falling,Average,Evergreen,Decreasing,1.349075,10.424946,The Script - The Man Who Can't Be Moved
A Couple Minutes,Olivia Dean,1348112,-57009,9770863,Pop,US,144,118,11118975,Falling,Average,Evergreen,Decreasing,1.348112,9.770863,Olivia Dean - A Couple Minutes
Everybody Wants To Rule The World,Tears For Fears,1345799,28946,6232525,New Wave,GB,145,1027,7578324,Rising,Average,Evergreen,Increasing,1.345799,6.232525,Tears For Fears - Everybody Wants To Rule The World
No One Noticed,The Marías,1342468,-53818,10132311,Rock,GB,146,496,11474779,Falling,Average,Evergreen,Decreasing,1.342468,10.132311,The Marías - No One Noticed
Without Me,Eminem,1335886,-100932,9154300,Hip Hop,US,147,1637,10490186,Falling,Average,Evergreen,Decreasing,1.335886,9.1543,Eminem - Without Me
